sleep_efficiency,stress_score,sleep_stage_deep_pct,sleep_stage_rem_pct,sleep_stage_light_pct,sleep_stage_awake_pct,caffeine_mg,bedtime_consistency_std_min,hrv_rmssd_ms,room_humidity_pct,step_count_day,ambient_noise_db,height_cm,room_temperature_c,age,screen_time_before_bed_min,activity_before_bed_min,weight_kg,respiration_rate_bpm,jetlag_hours,sleep_score_raw
0.962,33,0.156,0.158,0.5329999999999999,0.153,126,37.1,31.1,0.575,5139,38.9,166.1,23.7,50,87,39,94.2,14.4,-11,59
0.936,20,0.206,0.165,0.52,0.11,92,9.6,36.9,0.484,4231,30.6,172.4,22.3,40,0,1,87.3,15.5,8,61
0.871,29,0.2,0.223,0.493,0.084,150,35.5,23.2,0.284,2358,21.5,158.0,25.4,26,37,5,93.3,13.3,8,58
0.953,41,0.133,0.171,0.529,0.166,83,65.4,5.0,0.467,13506,34.5,152.6,23.0,66,71,69,53.8,13.0,4,53
0.992,54,0.22,0.211,0.507,0.063,29,0.4,39.6,0.422,2174,31.1,155.1,21.8,72,31,49,78.4,13.8,-5,60
0.954,30,0.16,0.159,0.5720000000000001,0.109,42,14.1,44.3,0.457,3493,25.8,171.0,19.6,52,35,48,75.9,15.1,-5,60
0.8809999999999999,42,0.182,0.1969999999999999,0.616,0.004,110,47.2,21.6,0.507,4365,38.4,158.6,22.1,47,26,0,73.5,13.0,-5,52
0.949,51,0.165,0.176,0.514,0.144,88,4.6,36.2,0.484,6691,32.0,187.0,23.0,56,76,25,82.4,12.2,0,52
0.938,38,0.178,0.176,0.561,0.085,140,30.5,42.9,0.447,4897,23.3,172.4,23.5,22,80,75,90.6,13.3,-4,67
0.98,35,0.168,0.102,0.586,0.143,172,13.8,34.5,0.326,0,23.3,162.2,23.3,30,92,20,55.3,13.8,-2,58
0.944,0,0.1689999999999999,0.2,0.4,0.231,164,47.1,34.9,0.492,5143,40.0,169.8,24.4,64,120,83,77.7,14.0,4,67
0.897,46,0.222,0.148,0.452,0.178,87,8.1,28.3,0.358,4893,25.1,169.9,19.4,59,47,32,77.3,13.6,0,48
0.812,27,0.214,0.287,0.425,0.074,32,16.4,41.8,0.46,0,29.1,161.3,23.5,27,60,35,65.3,15.2,-13,52
0.909,36,0.2289999999999999,0.203,0.5479999999999999,0.02,113,0.9,28.5,0.522,4696,36.3,175.0,19.6,18,113,18,65.1,11.9,3,61
0.82,24,0.153,0.2189999999999999,0.5820000000000001,0.045,176,15.4,43.8,0.557,9037,26.7,167.7,23.5,47,36,40,84.6,13.2,-3,54
0.995,64,0.18,0.271,0.496,0.053,147,46.2,37.4,0.322,5901,30.4,166.7,23.1,50,82,34,78.0,14.2,-3,61
0.945,68,0.258,0.2239999999999999,0.461,0.0559999999999999,21,11.0,37.9,0.8009999999999999,2169,24.6,167.5,22.6,21,133,30,76.0,14.1,4,52
0.932,39,0.16,0.19,0.591,0.059,17,38.5,38.4,0.513,8130,30.5,187.0,24.6,56,52,53,82.4,14.6,0,60
0.941,0,0.1369999999999999,0.16,0.532,0.171,83,44.9,20.6,0.49,8829,23.8,168.1,21.1,77,21,92,87.7,12.9,5,65
0.87,30,0.239,0.166,0.575,0.02,71,39.5,12.2,0.172,10736,27.2,174.6,20.6,59,50,42,78.7,14.8,-7,53
0.961,19,0.209,0.1169999999999999,0.516,0.158,119,11.1,18.9,0.485,5491,29.6,162.9,19.7,37,73,11,62.1,15.4,-3,63
0.968,14,0.107,0.29,0.564,0.038,113,45.7,5.0,0.507,2862,32.4,179.2,24.1,27,23,34,75.4,11.7,3,67
0.958,45,0.133,0.2339999999999999,0.531,0.102,218,42.5,17.5,0.327,9595,42.2,160.6,26.5,60,34,14,91.0,13.4,9,58
0.986,11,0.185,0.134,0.406,0.275,48,39.7,36.5,0.419,5371,25.0,163.8,21.7,21,64,24,74.4,13.4,0,62
0.978,20,0.23,0.182,0.512,0.075,35,45.8,40.1,0.494,7352,26.0,172.0,26.2,67,8,29,81.7,13.1,14,65
0.941,62,0.174,0.118,0.447,0.261,215,4.1,48.4,0.426,10032,41.3,181.6,26.8,51,18,62,61.5,17.9,3,54
0.963,35,0.096,0.141,0.562,0.2,91,13.9,14.6,0.344,2675,36.1,193.5,23.4,75,46,123,105.5,16.6,-4,54
0.949,47,0.17,0.1639999999999999,0.527,0.139,97,42.9,13.8,0.649,0,33.3,158.4,22.8,20,109,53,63.0,12.3,-23,56
0.8759999999999999,28,0.1159999999999999,0.173,0.611,0.099,166,48.0,42.3,0.631,2091,22.5,169.0,22.9,51,72,45,60.3,13.7,-4,53
0.921,65,0.1689999999999999,0.176,0.486,0.1689999999999999,33,8.5,26.5,0.402,7837,28.1,169.9,23.0,18,64,61,100.8,12.6,2,54
0.956,60,0.259,0.17,0.502,0.069,109,60.0,25.5,0.427,8809,40.6,179.6,19.9,42,27,48,73.8,13.6,0,51
0.984,67,0.322,0.191,0.421,0.066,34,39.6,39.6,0.1969999999999999,8521,21.6,171.8,21.1,33,70,15,77.0,12.7,-13,62
0.985,13,0.204,0.258,0.46,0.078,71,14.9,34.2,0.449,2782,36.8,164.4,26.0,47,0,65,80.3,13.5,-3,62
0.959,34,0.32,0.1969999999999999,0.428,0.054,156,12.0,35.1,0.603,7127,35.0,163.1,21.0,27,0,36,60.4,12.6,0,61
0.943,23,0.057,0.214,0.547,0.182,83,42.4,15.6,0.212,5371,29.0,177.1,21.7,19,48,0,56.4,13.6,-2,61
0.99,45,0.171,0.139,0.4,0.291,59,51.4,21.6,0.319,4612,42.7,149.0,20.5,30,45,124,92.5,15.4,-9,53
0.979,58,0.175,0.259,0.528,0.038,156,38.5,48.0,0.3389999999999999,3749,27.2,178.9,25.2,40,42,56,62.6,14.5,11,62
0.99,40,0.113,0.1939999999999999,0.639,0.054,98,2.7,39.8,0.282,4672,38.4,164.7,22.8,72,44,60,66.7,14.3,13,57
0.98,38,0.086,0.156,0.506,0.252,36,33.9,44.8,0.298,5520,27.0,170.6,22.8,59,57,38,101.5,12.5,-12,60
0.992,38,0.265,0.255,0.445,0.036,11,27.8,17.6,0.614,3165,44.4,176.2,19.7,54,91,55,75.1,14.2,-20,63
0.959,37,0.115,0.271,0.5770000000000001,0.037,148,13.0,8.1,0.3929999999999999,5775,40.3,153.2,22.0,54,65,7,43.6,13.7,18,61
0.931,70,0.162,0.156,0.633,0.05,67,18.5,12.9,0.434,5552,32.3,174.7,23.9,77,79,44,86.6,13.9,-3,47
0.915,35,0.1889999999999999,0.172,0.5539999999999999,0.085,111,32.2,42.5,0.297,3505,30.6,174.6,23.7,39,21,54,62.6,15.5,-10,57
0.957,27,0.1669999999999999,0.139,0.544,0.15,33,46.7,45.0,0.239,13446,29.8,185.7,20.5,28,61,34,72.7,14.9,1,58
0.763,14,0.1989999999999999,0.08,0.624,0.098,29,45.5,43.5,0.2769999999999999,3341,24.8,166.4,24.1,72,45,16,76.7,13.6,0,50
0.981,38,0.183,0.111,0.53,0.176,109,12.9,30.3,0.488,1018,35.3,159.4,22.6,76,11,0,80.4,15.7,-3,58
0.985,51,0.098,0.177,0.491,0.2339999999999999,248,28.1,11.1,0.428,3034,34.0,186.6,24.2,42,94,39,102.1,16.5,3,63
0.933,27,0.214,0.276,0.447,0.064,30,20.4,28.1,0.466,898,32.3,171.2,22.6,49,96,86,74.1,17.7,0,62
0.984,50,0.218,0.178,0.531,0.073,46,16.2,35.9,0.585,1729,32.2,177.4,25.0,78,36,6,85.0,13.5,1,58
0.994,62,0.247,0.262,0.409,0.0819999999999999,24,8.9,26.2,0.569,12375,22.1,162.1,21.2,31,46,73,89.9,11.3,-12,65
0.973,23,0.182,0.24,0.522,0.0559999999999999,116,17.1,25.1,0.306,10995,31.6,176.9,25.5,71,38,57,80.1,15.9,0,63
0.967,26,0.1159999999999999,0.143,0.509,0.2319999999999999,88,1.2,32.5,0.385,12198,33.4,170.7,22.8,33,21,18,74.2,11.5,2,54
0.991,20,0.05,0.1689999999999999,0.67,0.111,139,18.5,16.9,0.508,4320,46.3,180.7,24.8,21,61,85,60.5,12.7,10,57
0.918,0,0.05,0.231,0.522,0.1969999999999999,73,60.6,40.6,0.396,11211,33.9,160.9,22.4,71,79,52,65.1,10.0,-3,60
0.861,30,0.22,0.17,0.573,0.037,131,4.4,15.8,0.605,0,34.8,172.4,21.9,22,27,55,90.6,12.8,-11,55
0.959,17,0.2239999999999999,0.209,0.442,0.125,91,30.5,27.8,0.418,6312,36.5,167.7,19.7,47,65,64,84.6,13.9,14,67
0.952,13,0.223,0.2789999999999999,0.426,0.072,55,58.6,23.3,0.264,3761,46.8,153.8,24.9,74,37,73,63.9,17.5,3,68
0.963,62,0.095,0.141,0.493,0.271,45,58.3,29.5,0.473,1622,39.9,169.4,22.4,58,115,25,93.9,10.1,4,53
0.959,71,0.181,0.29,0.515,0.0139999999999999,67,45.3,7.8,0.423,1089,34.7,173.6,23.3,29,31,0,61.9,13.3,1,58
0.9,31,0.18,0.251,0.496,0.073,34,44.6,17.4,0.3879999999999999,9951,27.0,174.9,19.3,33,66,24,70.2,14.8,-5,50
0.991,37,0.05,0.214,0.503,0.233,1,35.2,24.1,0.585,9421,38.5,174.6,24.5,22,26,48,68.8,15.7,-10,54
0.925,45,0.111,0.27,0.497,0.123,88,15.8,26.2,0.3779999999999999,8092,29.5,195.9,20.8,67,0,0,89.8,14.0,-4,60
0.993,30,0.1169999999999999,0.215,0.642,0.025,30,25.4,35.0,0.6409999999999999,11148,35.2,159.6,22.8,50,46,5,54.0,15.6,-10,56
0.924,17,0.1689999999999999,0.254,0.484,0.093,8,28.1,5.0,0.5329999999999999,12539,27.6,164.0,23.5,74,65,23,72.4,16.2,2,62
0.983,14,0.149,0.233,0.586,0.032,1,24.3,34.4,0.496,2137,35.2,167.6,21.4,34,95,70,105.4,11.8,-13,65
0.957,15,0.12,0.128,0.5329999999999999,0.22,51,26.3,35.0,0.546,12419,31.0,169.2,22.1,66,87,69,65.6,12.0,2,56
0.922,29,0.1969999999999999,0.246,0.469,0.088,50,6.5,41.8,0.441,6909,44.2,156.2,23.7,57,118,73,100.5,13.2,-4,62
0.993,64,0.1,0.16,0.466,0.2739999999999999,111,18.1,41.2,0.226,1296,33.1,150.9,23.6,46,49,0,90.5,13.6,0,54
0.911,39,0.146,0.221,0.502,0.132,135,34.5,23.6,0.555,4083,31.2,176.2,25.7,41,157,46,71.2,11.4,2,58
0.8170000000000001,65,0.168,0.284,0.447,0.102,55,16.8,35.4,0.376,4119,32.2,185.3,21.5,48,80,0,102.5,11.1,0,45
0.949,51,0.145,0.228,0.556,0.07,59,24.3,44.9,0.519,12048,24.8,156.6,24.8,78,8,23,62.0,12.9,14,52
0.974,27,0.193,0.29,0.4579999999999999,0.059,65,62.9,27.1,0.381,3181,33.6,174.1,23.9,59,59,0,100.7,16.4,-4,64
0.9,38,0.1689999999999999,0.124,0.476,0.23,77,26.7,36.7,0.557,11768,20.0,170.0,21.4,33,36,61,67.2,13.9,-2,51
0.875,78,0.177,0.18,0.4,0.243,79,47.9,42.4,0.581,12352,28.9,177.2,21.7,34,57,51,71.3,13.5,2,44
0.882,40,0.253,0.183,0.51,0.054,22,46.7,35.7,0.427,4544,34.8,157.9,24.9,57,66,76,95.6,16.0,1,55
0.993,34,0.151,0.205,0.602,0.042,117,90.9,42.4,0.644,5845,31.3,175.1,21.7,19,80,41,62.6,14.0,-7,63
0.942,45,0.1119999999999999,0.2769999999999999,0.501,0.111,57,1.2,33.5,0.613,4176,41.2,185.7,27.5,53,43,26,85.9,13.3,-4,56
0.929,51,0.141,0.123,0.547,0.1889999999999999,139,57.2,25.3,0.14,7806,28.5,176.6,22.8,36,28,10,89.6,16.3,4,57
0.993,56,0.28,0.145,0.534,0.0409999999999999,68,22.7,13.8,0.465,7722,31.8,172.1,23.2,66,0,0,55.5,13.5,-1,59
0.975,26,0.15,0.1169999999999999,0.565,0.168,5,20.5,31.0,0.429,8143,35.3,169.4,22.0,67,28,22,63.9,15.0,-6,59
0.984,24,0.085,0.213,0.5429999999999999,0.16,56,5.0,15.9,0.216,8734,30.4,173.5,18.7,37,47,94,52.9,15.6,5,60
